,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
0,"[1, 60, 0]","[0, 60, 6]","[1, 52, 6]","[1, 725, 6]","[0, 52, 7]","[0, 1500, 19]","[1, 52, 19]","[0, 1500, 19]","[1, 52, 19]","[0, 381, 19]","[1, 52, 19]","[1, 116, 23]","[1, 222, 23]","[1, 415, 23]","[0, 52, 23]","[0, 52, 23]","[0, 52, 23]","[0, 573, 29]","[1, 83, 29]","[0, 52, 29]",110
1,"[1, 60, 0]","[0, 60, 6]","[1, 52, 7]","[1, 725, 7]","[0, 52, 7]","[0, 1500, 18]","[1, 52, 18]","[0, 1500, 18]","[1, 52, 18]","[0, 378, 18]","[1, 52, 18]","[1, 116, 21]","[1, 222, 21]","[1, 415, 21]","[0, 52, 21]","[0, 52, 22]","[0, 52, 22]","[0, 573, 27]","[1, 83, 27]","[0, 52, 28]",110
2,"[1, 60, 0]","[0, 60, 7]","[1, 52, 7]","[1, 725, 7]","[0, 52, 8]","[0, 1500, 19]","[1, 52, 19]","[0, 1500, 19]","[1, 52, 19]","[0, 381, 19]","[1, 52, 19]","[1, 116, 22]","[1, 222, 22]","[1, 415, 22]","[0, 52, 22]","[0, 52, 22]","[0, 564, 27]","[1, 83, 27]","[0, 52, 27]","[0, 83, 30]",110
3,"[1, 60, 0]","[0, 60, 14]","[1, 52, 14]","[1, 725, 14]","[0, 52, 15]","[0, 1500, 31]","[1, 52, 31]","[0, 1500, 31]","[1, 52, 31]","[0, 379, 31]","[1, 52, 31]","[1, 116, 34]","[1, 222, 34]","[1, 415, 34]","[0, 52, 34]","[0, 52, 35]","[0, 564, 41]","[1, 83, 42]","[0, 52, 42]","[0, 83, 45]",110
4,"[1, 60, 0]","[0, 60, 11]","[1, 52, 11]","[1, 725, 11]","[0, 52, 12]","[0, 1500, 23]","[1, 52, 23]","[0, 1500, 23]","[1, 52, 23]","[0, 379, 23]","[1, 52, 23]","[1, 116, 26]","[1, 222, 26]","[0, 52, 26]","[1, 415, 26]","[0, 52, 27]","[0, 52, 27]","[0, 564, 32]","[1, 83, 33]","[0, 52, 33]",110
5,"[1, 60, 0]","[0, 60, 13]","[1, 52, 13]","[1, 725, 14]","[0, 52, 14]","[0, 1500, 32]","[1, 52, 32]","[0, 1500, 32]","[1, 52, 32]","[0, 381, 32]","[1, 52, 32]","[1, 116, 35]","[1, 222, 36]","[0, 52, 36]","[1, 415, 36]","[0, 52, 36]","[0, 52, 36]","[0, 573, 41]","[1, 83, 42]","[0, 52, 42]",110
6,"[1, 60, 0]","[0, 60, 19]","[1, 52, 19]","[1, 725, 20]","[0, 52, 20]","[0, 1500, 43]","[1, 52, 43]","[0, 1500, 43]","[1, 52, 43]","[0, 379, 43]","[1, 52, 43]","[1, 116, 46]","[1, 222, 46]","[1, 415, 46]","[0, 52, 46]","[0, 52, 46]","[0, 52, 46]","[0, 564, 53]","[1, 83, 54]","[0, 52, 54]",110
7,"[1, 60, 0]","[0, 60, 9]","[1, 52, 9]","[1, 725, 9]","[0, 52, 10]","[0, 1500, 22]","[1, 52, 22]","[0, 1500, 22]","[1, 52, 22]","[0, 379, 22]","[1, 52, 22]","[1, 116, 25]","[1, 222, 25]","[1, 415, 25]","[0, 52, 26]","[0, 52, 26]","[0, 573, 33]","[1, 83, 33]","[0, 52, 33]","[0, 258, 38]",110
8,"[1, 60, 0]","[0, 60, 13]","[1, 52, 13]","[1, 725, 13]","[0, 52, 14]","[0, 1500, 28]","[1, 52, 29]","[0, 1500, 29]","[1, 52, 29]","[0, 381, 29]","[1, 52, 29]","[1, 116, 31]","[1, 222, 31]","[1, 415, 31]","[0, 52, 31]","[0, 52, 32]","[0, 52, 32]","[0, 564, 36]","[1, 83, 36]","[0, 52, 37]",110
9,"[1, 60, 0]","[0, 60, 11]","[1, 52, 11]","[1, 725, 11]","[0, 52, 12]","[0, 1500, 26]","[1, 52, 26]","[0, 1500, 26]","[1, 52, 26]","[0, 380, 27]","[1, 52, 27]","[1, 116, 29]","[1, 222, 30]","[0, 52, 30]","[1, 415, 30]","[0, 52, 30]","[0, 52, 30]","[0, 564, 38]","[1, 83, 38]","[0, 52, 38]",110
