,0,1,2,3,4,5,6,7,8,9,label
0,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 81]","[0, 20, 381]","[0, 1380, 381]","[0, 1380, 381]","[0, 519, 381]","[0, 519, 381]","[1, 32, 381]",210
1,"[1, 32, 0]","[0, 32, 81]","[1, 20, 81]","[1, 693, 82]","[1, 693, 384]","[0, 20, 429]","[0, 1380, 429]","[0, 1380, 429]","[0, 517, 429]","[0, 517, 429]",210
2,"[1, 32, 0]","[0, 20, 0]","[0, 693, 0]","[1, 20, 85]","[1, 1380, 95]","[1, 1380, 95]","[1, 519, 95]","[0, 20, 95]","[0, 84, 124]","[0, 190, 125]",210
3,"[1, 32, 0]","[0, 32, 77]","[1, 20, 77]","[1, 693, 79]","[0, 20, 154]","[0, 1380, 161]","[0, 1380, 161]","[0, 517, 161]","[1, 20, 162]","[1, 84, 182]",210
4,"[1, 32, 0]","[0, 32, 88]","[1, 20, 88]","[1, 693, 89]","[0, 20, 173]","[0, 1380, 176]","[0, 1380, 177]","[0, 518, 177]","[1, 20, 177]","[1, 84, 184]",210
5,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 80]","[0, 20, 163]","[0, 1380, 169]","[0, 1380, 169]","[0, 518, 169]","[1, 20, 169]","[1, 84, 175]",210
6,"[1, 32, 0]","[0, 32, 70]","[1, 20, 70]","[1, 693, 71]","[0, 20, 147]","[0, 1380, 149]","[0, 1380, 150]","[1, 20, 150]","[0, 518, 150]","[1, 84, 182]",210
7,"[1, 32, 0]","[0, 32, 75]","[1, 20, 75]","[1, 693, 77]","[0, 20, 164]","[0, 1380, 170]","[0, 1380, 173]","[0, 518, 173]","[1, 20, 174]","[1, 84, 182]",210
8,"[1, 32, 0]","[0, 32, 76]","[1, 20, 76]","[1, 693, 78]","[0, 20, 221]","[0, 1380, 224]","[0, 1380, 225]","[1, 20, 225]","[0, 518, 225]","[1, 84, 232]",210
9,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 81]","[0, 20, 361]","[0, 1380, 361]","[0, 1380, 361]","[0, 518, 361]","[0, 518, 361]","[1, 32, 362]",210
10,"[1, 32, 0]","[0, 32, 97]","[1, 20, 97]","[1, 693, 98]","[0, 20, 199]","[0, 1380, 199]","[0, 1380, 199]","[0, 519, 199]","[1, 20, 200]","[1, 84, 205]",210
11,"[1, 32, 0]","[0, 32, 80]","[1, 20, 80]","[1, 693, 80]","[1, 693, 400]","[0, 20, 563]","[0, 1380, 563]","[0, 1380, 563]","[0, 518, 563]","[0, 32, 563]",210
12,"[1, 32, 0]","[0, 20, 0]","[0, 693, 2]","[1, 20, 92]","[1, 1380, 92]","[1, 1380, 92]","[1, 518, 92]","[0, 20, 92]","[0, 84, 140]","[0, 190, 141]",210
13,"[1, 32, 0]","[0, 32, 81]","[1, 20, 81]","[1, 693, 83]","[0, 20, 167]","[0, 1380, 172]","[0, 1380, 173]","[0, 517, 173]","[1, 20, 173]","[1, 84, 185]",210
14,"[1, 32, 0]","[0, 32, 75]","[1, 20, 75]","[1, 693, 76]","[0, 20, 155]","[0, 1380, 157]","[0, 1380, 160]","[0, 518, 160]","[1, 20, 160]","[1, 84, 172]",210
15,"[1, 32, 0]","[0, 32, 78]","[1, 20, 79]","[1, 693, 80]","[0, 20, 161]","[0, 1380, 173]","[0, 1380, 173]","[1, 20, 174]","[0, 518, 174]","[1, 84, 186]",210
16,"[1, 32, 0]","[0, 32, 79]","[1, 20, 79]","[1, 693, 80]","[0, 20, 172]","[0, 1380, 179]","[0, 1380, 179]","[0, 518, 179]","[1, 20, 179]","[1, 84, 185]",210
17,"[1, 32, 0]","[0, 32, 84]","[1, 20, 84]","[1, 693, 85]","[0, 20, 301]","[0, 517, 306]","[1, 32, 306]","[0, 1380, 307]","[1, 32, 307]","[0, 1380, 307]",210
18,"[1, 32, 0]","[0, 32, 88]","[1, 20, 88]","[1, 693, 89]","[0, 20, 172]","[0, 1380, 176]","[0, 1380, 176]","[1, 20, 176]","[0, 518, 177]","[1, 84, 185]",210
19,"[1, 32, 0]","[0, 32, 78]","[1, 20, 78]","[1, 693, 78]","[0, 20, 164]","[0, 1380, 164]","[0, 1380, 164]","[0, 518, 164]","[1, 20, 164]","[1, 84, 176]",210
20,"[1, 166, 0]","[0, 78, 26]","[0, 1380, 26]","[1, 20, 26]","[0, 274, 28]","[0, 51, 28]","[0, 1380, 28]","[0, 51, 28]","[1, 32, 28]","[1, 32, 28]",210
21,"[1, 52, 0]","[0, 52, 40]","[1, 40, 41]","[1, 657, 42]","[0, 40, 161]","[0, 1500, 3091]","[0, 902, 3091]","[1, 40, 3091]","[1, 104, 3096]","[1, 132, 3097]",210
22,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 42]","[0, 40, 226]","[0, 1500, 3088]","[0, 902, 3088]","[1, 40, 3088]","[1, 104, 3093]","[1, 132, 3093]",210
23,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 41]","[0, 40, 144]","[0, 1500, 3090]","[0, 902, 3090]","[1, 40, 3090]","[1, 104, 3094]","[1, 132, 3095]",210
24,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 42]","[0, 40, 206]","[0, 1500, 3114]","[0, 902, 3114]","[1, 40, 3115]","[1, 104, 3118]","[1, 132, 3118]",210
