,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
0,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1851, 58]","[0, 52, 115]","[0, 52, 118]","[0, 3898, 122]","[1, 52, 122]","[1, 116, 124]","[1, 144, 125]","[1, 517, 125]","[0, 564, 182]","[0, 83, 182]","[1, 52, 182]","[1, 83, 182]","[0, 224, 189]","[0, 1443, 190]","[0, 1048, 190]","[0, 83, 190]","[1, 52, 190]",10
1,"[1, 60, 0]","[0, 60, 64]","[1, 52, 64]","[1, 1851, 64]","[0, 52, 123]","[0, 1500, 129]","[1, 52, 129]","[0, 2449, 129]","[1, 52, 129]","[1, 116, 131]","[1, 144, 131]","[1, 517, 132]","[0, 573, 188]","[1, 83, 188]","[0, 52, 189]","[1, 52, 189]","[0, 224, 200]","[0, 1443, 200]","[0, 1109, 200]","[1, 52, 200]",10
2,"[1, 60, 0]","[0, 60, 56]","[1, 52, 56]","[1, 1851, 57]","[0, 52, 117]","[0, 3896, 119]","[1, 52, 119]","[1, 116, 121]","[1, 144, 121]","[1, 517, 122]","[0, 573, 177]","[1, 83, 177]","[0, 52, 178]","[1, 52, 178]","[0, 224, 194]","[0, 1443, 196]","[0, 1109, 196]","[1, 52, 196]","[1, 172, 205]","[1, 165, 228]",10
3,"[1, 60, 0]","[0, 60, 57]","[1, 52, 57]","[1, 2058, 58]","[0, 52, 116]","[0, 52, 116]","[0, 1427, 120]","[1, 52, 120]","[1, 116, 123]","[1, 144, 123]","[1, 1461, 123]","[0, 564, 180]","[0, 83, 180]","[0, 52, 180]","[1, 52, 181]","[1, 83, 181]","[0, 302, 187]","[0, 185, 189]","[1, 52, 190]","[0, 1443, 191]",10
4,"[1, 60, 0]","[0, 60, 67]","[1, 52, 67]","[1, 2090, 68]","[0, 52, 132]","[0, 52, 132]","[0, 1427, 133]","[1, 52, 133]","[1, 116, 136]","[1, 144, 136]","[1, 1476, 136]","[0, 52, 204]","[0, 573, 204]","[0, 52, 204]","[1, 83, 204]","[0, 302, 215]","[0, 185, 221]","[1, 52, 221]","[0, 1443, 222]","[0, 1037, 222]",10
5,"[1, 60, 0]","[0, 60, 59]","[1, 52, 59]","[1, 2058, 59]","[0, 52, 118]","[0, 1427, 119]","[1, 52, 119]","[1, 116, 121]","[1, 144, 121]","[1, 517, 121]","[1, 1008, 121]","[0, 52, 179]","[0, 573, 179]","[0, 52, 179]","[1, 83, 179]","[0, 224, 189]","[0, 1443, 189]","[0, 1078, 189]","[0, 263, 189]","[1, 52, 189]",10
6,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1851, 59]","[0, 52, 116]","[0, 52, 116]","[0, 3896, 124]","[1, 52, 124]","[1, 116, 127]","[1, 144, 127]","[1, 517, 127]","[0, 564, 183]","[1, 83, 184]","[0, 83, 184]","[0, 224, 201]","[1, 52, 201]","[0, 1443, 201]","[0, 1109, 205]","[1, 52, 205]","[1, 172, 209]",10
7,"[1, 60, 0]","[0, 60, 56]","[1, 52, 56]","[1, 1787, 57]","[0, 52, 113]","[0, 3897, 119]","[1, 52, 119]","[1, 116, 128]","[1, 144, 128]","[1, 517, 128]","[0, 564, 184]","[0, 83, 184]","[1, 52, 184]","[1, 83, 184]","[0, 224, 192]","[0, 1443, 192]","[0, 1109, 192]","[1, 52, 192]","[1, 172, 201]","[1, 165, 223]",10
8,"[1, 60, 0]","[0, 60, 58]","[1, 52, 58]","[1, 1819, 58]","[0, 52, 124]","[0, 3896, 124]","[1, 52, 124]","[1, 116, 131]","[1, 144, 131]","[1, 517, 155]","[0, 573, 212]","[1, 83, 212]","[0, 52, 212]","[1, 52, 212]","[0, 224, 218]","[0, 1443, 219]","[0, 1078, 219]","[1, 52, 219]","[1, 172, 227]","[1, 165, 258]",10
9,"[1, 60, 0]","[0, 60, 57]","[1, 52, 57]","[1, 2026, 58]","[0, 52, 118]","[0, 52, 119]","[0, 1427, 121]","[1, 52, 121]","[1, 116, 123]","[1, 144, 123]","[1, 1471, 123]","[0, 564, 188]","[0, 83, 188]","[0, 52, 188]","[0, 302, 188]","[1, 52, 188]","[0, 185, 188]","[0, 1443, 188]","[1, 52, 189]","[0, 1047, 189]",10
10,"[1, 60, 0]","[0, 60, 59]","[1, 52, 59]","[1, 2122, 59]","[0, 52, 126]","[0, 52, 126]","[0, 1427, 126]","[1, 52, 126]","[1, 116, 128]","[1, 144, 128]","[1, 1460, 128]","[0, 52, 187]","[0, 52, 187]","[0, 573, 187]","[1, 83, 187]","[0, 302, 196]","[0, 185, 196]","[0, 1443, 196]","[0, 1109, 196]","[1, 52, 197]",10
