,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
0,"[1, 52, 0]","[0, 52, 40]","[1, 40, 41]","[1, 657, 42]","[0, 40, 161]","[0, 1500, 3091]","[0, 902, 3091]","[1, 40, 3091]","[1, 104, 3096]","[1, 132, 3097]","[1, 375, 3097]","[0, 40, 3138]","[0, 561, 3138]","[1, 71, 3138]","[0, 212, 3148]","[0, 1431, 3148]","[0, 1035, 3148]","[0, 71, 3148]","[1, 40, 3148]","[1, 40, 3148]",210
1,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 42]","[0, 40, 226]","[0, 1500, 3088]","[0, 902, 3088]","[1, 40, 3088]","[1, 104, 3093]","[1, 132, 3093]","[1, 375, 3093]","[0, 40, 3133]","[0, 561, 3133]","[1, 71, 3134]","[0, 212, 3147]","[0, 1431, 3147]","[0, 1035, 3147]","[0, 71, 3147]","[1, 40, 3148]","[1, 40, 3148]",210
2,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 41]","[0, 40, 144]","[0, 1500, 3090]","[0, 902, 3090]","[1, 40, 3090]","[1, 104, 3094]","[1, 132, 3095]","[1, 375, 3095]","[0, 40, 3138]","[0, 561, 3138]","[1, 71, 3138]","[0, 211, 3146]","[0, 1431, 3146]","[0, 1034, 3146]","[0, 71, 3146]","[1, 40, 3147]","[1, 40, 3147]",210
3,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 42]","[0, 40, 206]","[0, 1500, 3114]","[0, 902, 3114]","[1, 40, 3115]","[1, 104, 3118]","[1, 132, 3118]","[1, 375, 3118]","[0, 40, 3158]","[0, 561, 3158]","[1, 71, 3158]","[0, 212, 3178]","[0, 1431, 3178]","[0, 1024, 3178]","[0, 81, 3178]","[0, 71, 3178]","[1, 40, 3178]",210
4,"[1, 52, 0]","[0, 52, 41]","[1, 40, 41]","[1, 657, 41]","[0, 40, 135]","[0, 1500, 3118]","[0, 901, 3118]","[1, 40, 3119]","[1, 104, 3122]","[1, 132, 3122]","[1, 375, 3122]","[0, 552, 3179]","[0, 40, 3179]","[0, 71, 3179]","[1, 40, 3179]","[1, 71, 3180]","[0, 212, 3193]","[0, 1431, 3193]","[0, 1066, 3193]","[1, 40, 3194]",210
5,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 657, 41]","[0, 40, 157]","[0, 1500, 3089]","[0, 903, 3089]","[1, 40, 3089]","[1, 104, 3092]","[1, 132, 3093]","[1, 375, 3093]","[0, 40, 3135]","[0, 561, 3135]","[1, 71, 3136]","[0, 212, 3155]","[0, 1431, 3155]","[0, 1066, 3155]","[0, 71, 3155]","[1, 40, 3155]","[1, 40, 3155]",210
6,"[1, 52, 0]","[0, 52, 44]","[1, 40, 44]","[1, 657, 45]","[0, 40, 105]","[0, 1500, 3092]","[0, 902, 3092]","[1, 40, 3092]","[1, 104, 3096]","[1, 132, 3096]","[1, 375, 3096]","[0, 552, 3136]","[1, 71, 3137]","[0, 40, 3138]","[0, 71, 3138]","[0, 212, 3148]","[0, 1431, 3148]","[0, 1098, 3148]","[1, 40, 3148]","[1, 40, 3148]",210
7,"[1, 52, 0]","[0, 52, 43]","[1, 40, 43]","[1, 657, 44]","[0, 40, 48]","[0, 1500, 3095]","[0, 902, 3095]","[1, 40, 3095]","[1, 104, 3100]","[1, 132, 3100]","[1, 375, 3100]","[0, 40, 3142]","[0, 561, 3142]","[1, 71, 3143]","[0, 212, 3170]","[0, 1431, 3170]","[0, 1025, 3170]","[0, 81, 3170]","[0, 71, 3170]","[1, 40, 3170]",210
8,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 657, 41]","[0, 40, 189]","[0, 1500, 3087]","[0, 902, 3087]","[1, 40, 3087]","[1, 104, 3092]","[1, 132, 3092]","[1, 375, 3092]","[0, 40, 3132]","[0, 561, 3132]","[1, 71, 3133]","[0, 212, 3139]","[0, 1431, 3139]","[0, 1036, 3139]","[0, 71, 3139]","[1, 40, 3140]","[1, 40, 3140]",210
9,"[1, 52, 0]","[0, 52, 40]","[1, 40, 40]","[1, 657, 41]","[0, 40, 218]","[0, 1500, 3090]","[0, 901, 3090]","[1, 40, 3090]","[1, 104, 3094]","[1, 132, 3094]","[1, 375, 3094]","[0, 40, 3135]","[0, 561, 3135]","[1, 71, 3135]","[0, 212, 3148]","[0, 1431, 3148]","[0, 1035, 3148]","[0, 71, 3148]","[1, 40, 3148]","[1, 40, 3148]",210
