,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label
0,"[1, 60, 0]","[0, 60, 46]","[1, 1883, 47]","[0, 3883, 99]","[1, 116, 190]","[1, 144, 190]","[1, 516, 190]","[0, 564, 235]","[0, 83, 235]","[1, 83, 235]","[0, 224, 247]","[0, 1443, 247]","[0, 1078, 247]","[1, 172, 533]","[0, 191, 582]","[0, 357, 582]","[0, 83, 582]","[1, 165, 593]","[1, 1639, 593]","[1, 177, 596]","[0, 223, 644]","[0, 110, 649]","[0, 1443, 649]","[0, 784, 649]","[1, 52, 2351]",10
1,"[1, 60, 0]","[0, 60, 45]","[1, 1883, 45]","[0, 3882, 94]","[1, 116, 174]","[1, 144, 174]","[1, 516, 174]","[0, 564, 219]","[0, 83, 219]","[1, 83, 219]","[0, 224, 227]","[0, 1443, 227]","[0, 1047, 227]","[0, 83, 227]","[1, 172, 558]","[1, 165, 591]","[1, 1603, 591]","[1, 177, 593]","[0, 191, 606]","[0, 358, 606]","[0, 83, 606]","[0, 223, 640]","[0, 110, 644]","[0, 1443, 644]","[0, 753, 644]",10
2,"[1, 60, 0]","[0, 60, 45]","[1, 1787, 46]","[0, 3884, 97]","[1, 116, 189]","[1, 144, 190]","[1, 516, 190]","[0, 564, 234]","[0, 83, 234]","[1, 83, 234]","[0, 223, 242]","[0, 1443, 242]","[0, 1078, 242]","[0, 83, 242]","[1, 172, 523]","[0, 191, 571]","[0, 358, 571]","[0, 83, 571]","[1, 165, 583]","[1, 1595, 583]","[1, 177, 593]","[0, 245, 632]","[0, 109, 650]","[0, 1443, 650]","[0, 712, 650]",10
3,"[1, 60, 0]","[0, 60, 45]","[1, 1851, 46]","[0, 3882, 95]","[1, 116, 178]","[1, 144, 178]","[1, 516, 179]","[0, 564, 223]","[0, 83, 223]","[1, 83, 223]","[0, 224, 233]","[0, 1443, 233]","[0, 1108, 233]","[1, 172, 548]","[0, 214, 597]","[0, 358, 597]","[0, 83, 597]","[1, 165, 607]","[1, 1652, 607]","[1, 177, 618]","[0, 223, 657]","[0, 110, 669]","[0, 1443, 669]","[0, 722, 669]","[0, 83, 669]",10
4,"[1, 60, 0]","[0, 60, 45]","[1, 1787, 46]","[0, 3883, 95]","[1, 116, 184]","[1, 144, 184]","[1, 516, 185]","[0, 564, 228]","[0, 83, 228]","[1, 83, 228]","[0, 224, 241]","[0, 1443, 241]","[0, 1109, 241]","[1, 172, 555]","[1, 165, 595]","[1, 1624, 595]","[1, 177, 595]","[0, 214, 603]","[0, 357, 603]","[0, 83, 603]","[0, 223, 646]","[0, 110, 646]","[0, 1443, 646]","[0, 722, 646]","[0, 83, 646]",10
5,"[1, 60, 0]","[0, 60, 44]","[1, 1851, 45]","[0, 3884, 94]","[1, 116, 173]","[1, 144, 173]","[1, 516, 174]","[0, 564, 218]","[0, 83, 218]","[1, 83, 218]","[0, 224, 231]","[0, 1443, 231]","[0, 1037, 231]","[0, 93, 231]","[0, 83, 231]","[1, 172, 545]","[0, 191, 593]","[0, 361, 593]","[0, 83, 593]","[1, 165, 597]","[1, 1527, 597]","[1, 177, 603]","[0, 223, 650]","[0, 110, 656]","[0, 1443, 657]",10
6,"[1, 60, 0]","[0, 60, 45]","[1, 1851, 46]","[0, 3884, 95]","[1, 116, 172]","[1, 144, 172]","[1, 516, 173]","[0, 564, 216]","[0, 83, 216]","[1, 83, 216]","[0, 224, 226]","[0, 1443, 226]","[0, 1046, 226]","[0, 83, 226]","[1, 172, 522]","[1, 165, 569]","[1, 1626, 569]","[0, 191, 570]","[0, 358, 570]","[0, 83, 570]","[1, 177, 573]","[0, 223, 617]","[0, 110, 623]","[0, 1443, 623]","[0, 784, 623]",10
7,"[1, 60, 0]","[0, 60, 45]","[1, 1883, 46]","[0, 3883, 96]","[1, 116, 176]","[1, 144, 176]","[1, 516, 176]","[0, 564, 220]","[0, 83, 220]","[1, 83, 221]","[0, 224, 228]","[0, 1443, 228]","[0, 1077, 228]","[0, 83, 228]","[1, 172, 554]","[0, 191, 601]","[0, 358, 601]","[0, 83, 601]","[1, 165, 605]","[1, 1541, 605]","[1, 177, 609]","[0, 223, 659]","[0, 110, 666]","[0, 1443, 666]","[0, 722, 666]",10
8,"[1, 60, 0]","[0, 60, 44]","[1, 1787, 45]","[0, 3884, 96]","[1, 116, 173]","[1, 144, 173]","[1, 516, 174]","[0, 564, 218]","[0, 83, 218]","[1, 83, 218]","[0, 224, 229]","[0, 1443, 229]","[0, 1078, 229]","[1, 172, 538]","[1, 165, 585]","[1, 1638, 585]","[0, 191, 585]","[0, 358, 585]","[0, 83, 585]","[1, 177, 589]","[0, 223, 645]","[0, 110, 645]","[0, 1443, 645]","[0, 753, 645]","[1, 52, 2377]",10
9,"[1, 60, 0]","[0, 60, 49]","[1, 1787, 50]","[0, 3883, 99]","[1, 116, 175]","[1, 144, 175]","[1, 516, 175]","[0, 564, 219]","[0, 83, 219]","[1, 83, 219]","[0, 224, 232]","[0, 1443, 232]","[0, 1078, 232]","[0, 83, 232]","[1, 172, 509]","[0, 191, 557]","[0, 357, 557]","[0, 83, 557]","[1, 165, 574]","[1, 1574, 574]","[1, 177, 578]","[0, 246, 624]","[0, 110, 630]","[0, 1443, 630]","[0, 712, 630]",10
