,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,label
200,"[1, 32, 0]","[0, 32, 79]","[1, 20, 80]","[1, 1915, 81]","[0, 32, 166]","[0, 20, 222]","[0, 1380, 228]","[0, 1380, 228]","[1, 20, 228]","[0, 1380, 229]","[0, 246, 229]","[1, 20, 229]","[1, 84, 242]","[1, 190, 243]","[1, 407, 243]","[0, 20, 333]","[0, 541, 333]","[0, 191, 333]","[0, 1380, 333]","[0, 51, 333]",0
201,"[1, 32, 0]","[0, 32, 73]","[1, 20, 73]","[1, 1915, 74]","[0, 32, 155]","[0, 20, 155]","[0, 1380, 157]","[0, 1380, 157]","[0, 1380, 157]","[0, 247, 157]","[1, 20, 157]","[1, 84, 165]","[1, 190, 165]","[1, 407, 165]","[0, 20, 241]","[0, 541, 241]","[1, 51, 244]","[0, 192, 253]","[0, 1380, 253]","[1, 20, 253]",0
202,"[1, 32, 0]","[0, 32, 73]","[1, 20, 73]","[1, 1915, 73]","[0, 32, 149]","[1, 1380, 227]","[0, 40, 305]","[0, 32, 347]","[0, 1380, 351]","[0, 1380, 351]","[0, 1380, 351]","[0, 246, 351]","[1, 20, 351]","[1, 84, 367]","[1, 190, 368]","[1, 407, 369]","[0, 532, 454]","[0, 51, 454]","[1, 20, 454]","[1, 51, 455]",0
203,"[1, 32, 0]","[0, 32, 78]","[1, 20, 78]","[1, 1915, 79]","[0, 32, 161]","[0, 20, 164]","[0, 1380, 171]","[0, 1380, 171]","[0, 1380, 171]","[0, 246, 171]","[1, 20, 171]","[1, 84, 185]","[1, 190, 185]","[1, 407, 185]","[0, 532, 265]","[0, 51, 265]","[1, 20, 265]","[1, 51, 267]","[0, 192, 284]","[0, 1380, 284]",0
204,"[1, 32, 0]","[0, 32, 89]","[1, 20, 90]","[1, 1915, 91]","[0, 32, 201]","[1, 1380, 281]","[0, 1380, 484]","[0, 1380, 484]","[0, 1380, 484]","[0, 245, 484]","[0, 32, 484]","[0, 245, 484]","[1, 20, 484]","[1, 32, 484]","[1, 84, 494]","[1, 190, 495]","[1, 407, 495]","[0, 20, 574]","[0, 532, 575]","[0, 51, 576]",0
205,"[1, 32, 0]","[0, 32, 126]","[1, 20, 126]","[1, 1915, 128]","[1, 1380, 385]","[0, 32, 573]","[0, 1380, 573]","[0, 1380, 573]","[0, 1380, 573]","[0, 247, 573]","[1, 20, 574]","[1, 84, 602]","[1, 190, 603]","[1, 407, 603]","[0, 532, 703]","[0, 51, 703]","[1, 20, 703]","[1, 51, 704]","[0, 192, 721]","[0, 1380, 721]",0
206,"[1, 32, 0]","[0, 32, 79]","[1, 20, 79]","[1, 1915, 80]","[0, 32, 165]","[0, 20, 165]","[0, 1380, 172]","[0, 1380, 172]","[1, 20, 172]","[0, 1380, 173]","[0, 246, 173]","[1, 20, 173]","[1, 84, 186]","[1, 190, 190]","[1, 407, 190]","[0, 532, 276]","[0, 51, 276]","[1, 20, 276]","[1, 51, 277]","[0, 191, 285]",0
207,"[1, 32, 0]","[0, 32, 72]","[1, 20, 72]","[1, 1915, 73]","[0, 32, 150]","[1, 1380, 218]","[0, 20, 251]","[0, 1380, 251]","[0, 1380, 251]","[0, 1380, 251]","[0, 245, 251]","[1, 20, 251]","[1, 84, 268]","[1, 190, 268]","[1, 407, 268]","[0, 32, 292]","[0, 20, 340]","[0, 532, 340]","[0, 20, 340]","[0, 51, 340]",0
208,"[1, 32, 0]","[0, 32, 83]","[1, 20, 83]","[1, 1915, 85]","[0, 32, 192]","[0, 20, 194]","[0, 1380, 201]","[0, 1380, 202]","[0, 1380, 202]","[0, 247, 202]","[1, 20, 202]","[1, 84, 210]","[1, 190, 211]","[1, 407, 211]","[0, 20, 288]","[0, 541, 289]","[1, 51, 290]","[0, 192, 304]","[0, 66, 305]","[0, 1380, 305]",0
209,"[1, 32, 0]","[0, 32, 71]","[1, 20, 71]","[1, 1915, 72]","[0, 32, 149]","[0, 20, 149]","[0, 1380, 159]","[0, 1380, 159]","[0, 1380, 159]","[0, 247, 159]","[1, 20, 160]","[1, 84, 169]","[1, 190, 170]","[1, 407, 170]","[0, 532, 240]","[1, 51, 240]","[0, 51, 243]","[0, 191, 254]","[0, 1380, 254]","[0, 51, 254]",0
210,"[1, 32, 0]","[0, 32, 95]","[1, 20, 95]","[1, 1915, 106]","[0, 32, 189]","[0, 20, 193]","[0, 1380, 196]","[0, 1380, 196]","[0, 1380, 196]","[1, 20, 196]","[0, 246, 196]","[1, 20, 196]","[1, 84, 206]","[1, 190, 209]","[1, 407, 209]","[0, 532, 285]","[1, 51, 289]","[0, 51, 291]","[0, 192, 302]","[0, 1380, 302]",0
211,"[1, 32, 0]","[0, 32, 82]","[1, 20, 82]","[1, 1915, 83]","[0, 32, 168]","[0, 20, 169]","[0, 1380, 175]","[0, 1380, 175]","[0, 1380, 175]","[1, 20, 175]","[0, 246, 176]","[1, 20, 176]","[1, 84, 184]","[1, 190, 185]","[1, 407, 186]","[0, 20, 267]","[0, 541, 267]","[1, 51, 268]","[0, 191, 283]","[0, 1380, 284]",0
